title,RAM,storage,color,model_no,deal_price,org_price,discount,rating,no_of_ratings,battery,processor_brand,os,processor_core,camera,warranty
"REDMI A3X (Ocean Green, 64 GB)  (3 GB RAM)",3 GB,64 GB,Ocean Green,24048RN6Cl,6199,9999,38% off,4.1,"2,346 Ratings & 99 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,8MP Rear Camera,1 Year
"Motorola g45 5G (Brilliant Blue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Brilliant Blue,PB3W0008IN|PB3W0000IN,11999,14999,20% off,4.3,"1,31,878 Ratings & 6,983 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 2MP,1 Year
"POCO M7 5G (Satin Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Satin Black,MZB0JM4IN,9999,12999,23% off,4.2,"4,127 Ratings & 280 Reviews",5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"OPPO F29 Pro 5G (Marble White, 128 GB)  (8 GB RAM)",8 GB,128 GB,Marble White,CPH2705,27999,32999,15% off,4.4,141 Ratings & 15 Reviews,6000 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"OPPO F29 Pro 5G (Granite Black, 256 GB)  (12 GB RAM)",12 GB,256 GB,Granite Black,CPH2705,31999,36999,13% off,4.2,16 Ratings & 4 Reviews,6000 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Blue Black,SM-A166P,16320,21499,24% off,4.2,"1,767 Ratings & 122 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"SAMSUNG A14 5G (Light Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Light Green,SM-A146BLGHINS,11999,20999,42% off,4.2,"20,024 Ratings & 946 Reviews",5000 mAh,Exynos,Android 13,Octa Core,50MP + 2MP + 2MP,1 Year
"POCO X6 Neo 5G (Horizon Blue, 256 GB)  (12 GB RAM)",12 GB,256 GB,Horizon Blue,MZB0GGSIN,17999,21999,18% off,4.2,"14,751 Ratings & 1,086 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,108MP + 2MP,1 Year
"REDMI Note 14 Pro+ 5G (Phantom Purple, 512 GB)  (12 GB RAM)",12 GB,512 GB,Phantom Purple,24115RA8EI,34999,39999,12% off,4.4,"1,151 Ratings & 136 Reviews",6200 mAh,Snapdragon,Android 14,Octa Core,50MP + 50MP + 8MP,1 Year
"realme C53 (Champion Gold, 128 GB)  (6 GB RAM)",6 GB,128 GB,Champion Gold,RMX3762,11999,13999,14% off,4.4,"1,34,869 Ratings & 5,947 Reviews",5000 mAh,Unisoc,Android 13,Octa Core,108MP + 2MP,1 Year
Jio Bharat V3  (Black),36 MB,36 MB,Black,JBV191M1,899,1899,52% off,3.8,532 Ratings & 37 Reviews,1000 mAh,NA,1,N/A,0.3MP Rear Camera,1 Year
Snexian GURU 4G  (Blue),32 MB,32 MB,Blue,GURU 4G,1590,2499,36% off,3.7,32 Ratings & 4 Reviews,2500 mAh,NA,1,N/A,0.3MP Rear Camera,1 Year
"REDMI 12 5G (Moonstone Silver, 128 GB)  (4 GB RAM)",4 GB,128 GB,Moonstone Silver,MZB0F1GIN,11999,15999,25% off,4.3,"12,755 Ratings & 589 Reviews",5000 mAh,Snapdragon,Android 13,Octa Core,50MP + 2MP,1 Year
"REDMI 14C 5G (Stardust Purple, 64 GB)  (4 GB RAM)",4 GB,64 GB,Stardust Purple,2411DRN47I,9499,12999,26% off,4.2,775 Ratings & 52 Reviews,5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
Lvix L1 FLIP 1  (Blue),16 MB,32 MB,Blue,L1 FLIP 1,1299,2999,56% off,3.7,89 Ratings & 3 Reviews,2000 mAh,NA,0,N/A,0.3MP Rear Camera,1 Year
"MOTOROLA Razr 50 (Beach Sand, 256 GB)  (8 GB RAM)",8 GB,256 GB,Beach Sand,XT2453-1,54999,74999,26% off,4.2,5 Ratings & 0 Reviews,4200 mAh,Mediatek,Android Q Android 14,Octa Core,50MP Rear Camera,1 Year
"Motorola E7 Power (Coral Red, 64 GB)  (4 GB RAM)",4 GB,64 GB,Coral Red,PAMH0001IN / PAMH0010IN / PAMH0019IN,8990,11998,25% off,4.1,"85,086 Ratings & 7,391 Reviews",5000 mAh,Mediatek,Android 10,Octa Core,13MP + 2MP,1 Year
"realme GT 7 Pro (Mars Orange, 256 GB)  (12 GB RAM)",12 GB,256 GB,Mars Orange,GT 7 Pro,54999,69999,21% off,4.7,6 Ratings & 2 Reviews,5800 mAh,Snapdragon,Android Oxygen 15,Octa Core,50MP Rear Camera,1 Year
itel Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoice  (Light Blue),4 MB,4 MB,Light Blue,P120,1248,1599,21% off,4.2,568 Ratings & 40 Reviews,2500 mAh,Unisoc,N/A,Single Core,0.3MP + 0MP,1 Year
"OPPO 12 Pro 5G (Manish Malhotra Limited Edition, 256 GB)  (12 GB RAM)",12 GB,256 GB,Manish Malhotra Limited Edition,CPH2629,36999,53999,31% off,4.5,350 Ratings & 29 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 8MP + 50MP,1 Year
"SAMSUNG Galaxy A26 5G (Awesome Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Awesome Black,SM-A266BZKKINS,24999,27999,10% off,3.8,42 Ratings & 11 Reviews,5000 mAh,Exynos,Android 15,Octa Core,50MP + 8MP,1 Year
"realme P1 Speed 5G (Textured Titanium, 128 GB)  (8 GB RAM)",8 GB,128 GB,Textured Titanium,RMX5004,17999,20999,14% off,4.3,"2,057 Ratings & 238 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Electric Black,SM-E346BZKHINS,18999,25999,26% off,4.2,"8,357 Ratings & 594 Reviews",6000 mAh,Exynos,Android 13,Octa Core,50MP (OIS) + 8MP + 2MP,1 Year
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Breeze Blue,CPH2667,12999,16999,23% off,4.5,"1,52,955 Ratings & 5,498 Reviews",5100 mAh,Mediatek,Android 14,Octa Core,32MP + 2MP,1 Year
"itel A27 (Silver Purple, 32 GB)  (2 GB RAM)",2 GB,32 GB,Silver Purple,A551L,5540,6999,20% off,4,"1,093 Ratings & 70 Reviews",4000 mAh,Unisoc,Android 11,Quad Core,2MP Rear Camera,1 Year
"realme GT 7 Pro (Mars Orange, 512 GB)  (16 GB RAM)",16 GB,512 GB,Mars Orange,GT 7 Pro,59999,74999,20% off,4.9,7 Ratings & 0 Reviews,5800 mAh,Snapdragon,Android Oxygen 15,Octa Core,50MP Rear Camera,1 Year
Nokia 216 DS  (Black),16 MB,NA,Black,RM-1187 / A00028295,1799,2599,30% off,4.2,"33,277 Ratings & 3,366 Reviews",1020 mAh,NA,Symbian Series 30,N/A,0.3MP Rear Camera,0 Months
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice  (Blue),32 MB,32 MB,Blue,it5361,1495,1799,16% off,4.1,"9,606 Ratings & 596 Reviews",1900 mAh,Unisoc,N/A,Single Core,0.8MP + 0MP,13 Months
"POCO C55 (Power Black, 64 GB)  (4 GB RAM)",4 GB,64 GB,Power Black,MZB0DDLIN,9499,11999,20% off,4.2,"1,31,358 Ratings & 7,597 Reviews",5000 mAh,Mediatek,Android 12,Octa Core,50MP Dual Rear Camera,1 Year
"vivo T2 5G (Nitro Blaze, 128 GB)  (6 GB RAM)",6 GB,128 GB,Nitro Blaze,V2240,15999,23999,33% off,4.4,"1,13,626 Ratings & 7,185 Reviews",4500 mAh,Snapdragon,Android 13,Octa Core,64 MP (OIS) + 2MP,1 Year
Kechaoda K120  (Black),32 GB,32 GB,Black,K120,1199,2130,43% off,4,153 Ratings & 17 Reviews,2500 mAh,NVIDIA,00,N/A,1.3MP Rear Camera,1 Year
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)  (8 GB RAM)",8 GB,256 GB,Blue Lagoon,I2301,21999,27999,21% off,4.4,"10,089 Ratings & 611 Reviews",4600 mAh,Mediatek,Android 13,Octa Core,64MP + 2MP,1 Year
"realme 12 Pro 5G (Navigator Beige, 256 GB)  (8 GB RAM)",8 GB,256 GB,Navigator Beige,RMX3842,20999,31999,34% off,4.4,"33,214 Ratings & 2,858 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP + 32MP,1 Year
"LAVA Blaze X 5G (Titanium Grey, 128 GB)  (6 GB RAM)",6 GB,128 GB,Titanium Grey,Blaze X 5G,16199,17999,10% off,4.1,169 Ratings & 12 Reviews,5000 mAh,Mediatek,Android Q Android 14,Octa Core,64MP Rear Camera,1 Year
"realme 14x 5G (Crystal Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Crystal Black,RMX3940,14999,16999,11% off,4.4,"5,416 Ratings & 263 Reviews",6000 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"Apple iPhone 13 (Blue, 128 GB)",N/A,128 GB,Blue,MLPK3HN/A,44999,49900,9% off,4.6,"1,90,871 Ratings & 9,686 Reviews",3240 mAh,Apple,iOS 15,Hexa Core,12MP + 12MP,1 Year
"IQOO Z9s 5G (Onyx Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Onyx Green,Z9s / I2403,19155,25999,26% off,4.4,"3,706 Ratings & 242 Reviews",5500 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"realme C63 (Jade Green, 64 GB)  (4 GB RAM)",4 GB,64 GB,Jade Green,RMX3939,8499,9999,15% off,4.3,"10,489 Ratings & 535 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,50MP Rear Camera,1 Year
